pool_id,project,project_name,chain,symbol,tvl_usd,current_apy,apy_base,apy_reward,stablecoin
a3d66deb-a5e6-49cb-834f-8ccd454deca2,curve-dex,Curve,Ethereum,USD3-SUSDE,917755,4.9432,2.72,2.2232,True
d3f4305d-ac0a-4e5a-b814-67c3d7c3b6f0,compound-v3,Compound V3,Arbitrum,TBTC,911369,0,,,False
c92d7ebf-ecb8-4ca1-a09c-9f8516dfcb61,euler-v2,Euler V2,Ethereum,WEETH,879961,0.00715,0.00715,,False
22f945e0-ab42-4ea4-b5c2-feeb7cb8d507,curve-dex,Curve,Ethereum,WIBBTC-SBTCCRV,879725,0.02,0.02,0,False
5cddae3c-7c4a-4473-8931-82a7f985185a,aave-v3,Aave V3,Base,AAVE,878706,0,0,,False
9cced191-ad6f-4fab-b1c1-3ba2d15ccf0f,curve-dex,Curve,Ethereum,FRAX-FXB-20261231,876788,2.88005,2.88,5e-05,False
289fd501-498b-4c0b-97f3-807dfbd1d927,curve-dex,Curve,Ethereum,WETH-INV,876659,1.9,1.9,0,False
a29ce33e-5994-486e-b76e-4a52692d2571,compound-v3,Compound V3,Arbitrum,WBTC,868513,0,,,False
429bbfd9-1496-4871-9406-b64f3d05f38d,curve-dex,Curve,Arbitrum,USD₮0-WBTC-WETH,864717,0.75,0.75,0,False
18e26e89-066b-48eb-b357-d3b4e9f343f6,euler-v2,Euler V2,Ethereum,RSETH,816295,2.50536,2.50536,,False
2956b5b1-77ea-43aa-887d-29ba4f2b84aa,pendle,Pendle,Ethereum,UNIBTC,815629,0.51081,0.06084,0.44997,False
23536587-b38a-4131-8782-c890db4f893b,pendle,Pendle,Ethereum,UNIBTC,815629,0.36359,0.36359,,False
5a4c4cef-e95e-47c3-977a-e41d9fec6cdf,curve-dex,Curve,Ethereum,MSETH-OETH,812284,6.77974,0.08,6.69974,False
d85aeae0-e233-4c1e-8620-66569a571609,curve-dex,Curve,Ethereum,CRVUSD-ZCHF,806333,6.56974,0.22,6.34974,True
ef8fbf02-ac96-4453-a78c-37bda4cd65e3,aave-v3,Aave V3,Ethereum,LUSD,805027,1.57303,1.57303,,True
634de7f1-3fee-4f7b-84a7-49264375d5f2,pendle,Pendle,Arbitrum,WSTETH,788332,2.72429,2.56904,0.15525,False
3dc97129-751e-4150-9b6f-34ab779ca0f2,pendle,Pendle,Arbitrum,WSTETH,788332,2.48982,2.48982,,False
39d98359-da70-4052-85e3-4ad53a116d64,curve-dex,Curve,Ethereum,USD3-SUSDS,785650,4.73283,2.17,2.56283,True
700ab88a-4323-4b82-8fbe-b69dd8790e95,curve-dex,Curve,Ethereum,ETH-YFI,783566,5.3348,0.16,5.1748,False
6cd5c507-ff67-40ff-b37d-96cdf0985e78,curve-dex,Curve,Arbitrum,ETH+-WETH,779553,0,0,0,False
31273585-b1a5-4ae6-8026-ce0f377d24a1,curve-dex,Curve,Ethereum,ETH-ALD,778018,0.02509,0,0.02509,False
00bc9d53-85d6-422f-b287-1048088d5f45,euler-v2,Euler V2,Ethereum,RZR,750093,0.00043,0.00043,,False
2b79e03c-3cee-48a8-b91f-7ee61c4e6025,curve-dex,Curve,Ethereum,WETH-T,740156,0.59228,0.09,0.50228,False
5a29a2e5-10e0-471b-9952-ff9d1abd9b85,pendle,Pendle,Ethereum,NBASIS,724108,9.70298,9.70298,,False
