date,symbol,ticker,open,high,low,close,volume
2024-02-08,SOL,SOL-USD,101.0,104.8,100.55,102.79,2288429230
2024-02-09,SOL,SOL-USD,102.79,108.99,102.79,106.93,2852770180
2024-02-10,SOL,SOL-USD,106.93,110.74,106.93,109.13,1836561570
2024-02-11,SOL,SOL-USD,109.12,110.56,107.36,107.5,1370383843
2024-02-12,SOL,SOL-USD,107.49,112.07,103.61,111.99,2650731894
2024-02-13,SOL,SOL-USD,111.98,114.81,108.49,112.58,2709494768
2024-02-14,SOL,SOL-USD,112.57,118.33,110.88,116.98,2391239729
2024-02-15,SOL,SOL-USD,116.99,118.31,111.78,113.7,2471486178
2024-02-16,SOL,SOL-USD,113.67,114.25,108.35,110.45,1921299579
2024-02-17,SOL,SOL-USD,110.44,111.07,106.13,108.98,1370606631
2024-02-18,SOL,SOL-USD,108.99,114.0,107.61,112.17,1516321334
2024-02-19,SOL,SOL-USD,112.18,114.72,111.08,111.49,1898655220
2024-02-20,SOL,SOL-USD,111.48,112.04,104.89,108.46,2656976089
2024-02-21,SOL,SOL-USD,108.45,108.45,100.41,105.13,2246861647
2024-02-22,SOL,SOL-USD,105.12,107.0,101.64,101.67,1830636004
2024-02-23,SOL,SOL-USD,101.67,103.02,98.96,99.95,1483285120
2024-02-24,SOL,SOL-USD,99.95,104.65,98.59,104.13,1083637514
2024-02-25,SOL,SOL-USD,104.13,104.33,102.17,103.45,909662462
2024-02-26,SOL,SOL-USD,103.45,110.58,100.46,109.92,2334408023
2024-02-27,SOL,SOL-USD,109.92,112.2,105.9,108.39,2723995106
2024-02-28,SOL,SOL-USD,108.4,118.05,107.46,118.05,5029492553
2024-02-29,SOL,SOL-USD,118.24,134.47,117.67,125.71,6950123902
2024-03-01,SOL,SOL-USD,125.64,137.6,125.64,129.99,4743077738
2024-03-02,SOL,SOL-USD,129.98,131.45,127.68,129.7,2741772676
2024-03-03,SOL,SOL-USD,129.79,132.06,125.77,130.45,2875614168
2024-03-04,SOL,SOL-USD,130.42,134.87,127.8,133.19,4429758300
2024-03-05,SOL,SOL-USD,133.16,142.65,109.54,125.71,8980294607
2024-03-06,SOL,SOL-USD,125.7,134.81,120.32,130.74,5146680159
2024-03-07,SOL,SOL-USD,130.74,149.22,130.7,143.98,7111178325
2024-03-08,SOL,SOL-USD,143.98,152.42,142.54,145.24,5474659974
2024-03-09,SOL,SOL-USD,145.24,149.35,144.29,144.61,2946261381
2024-03-10,SOL,SOL-USD,144.61,148.67,140.84,144.52,3407621981
2024-03-11,SOL,SOL-USD,144.51,150.02,137.63,148.75,5383624184
2024-03-12,SOL,SOL-USD,148.75,154.94,142.87,151.02,6413617983
2024-03-13,SOL,SOL-USD,151.02,166.45,148.95,163.84,5917471836
2024-03-14,SOL,SOL-USD,163.84,177.89,160.23,176.68,8399967972
2024-03-15,SOL,SOL-USD,176.68,188.5,165.41,182.96,14093348410
2024-03-16,SOL,SOL-USD,182.97,197.66,177.46,181.88,11794134069
2024-03-17,SOL,SOL-USD,181.88,204.29,179.23,202.12,10876218562
2024-03-18,SOL,SOL-USD,202.12,209.7,194.85,195.99,11137647410
2024-03-19,SOL,SOL-USD,195.99,198.24,166.18,170.02,11658593922
2024-03-20,SOL,SOL-USD,170.02,192.91,163.3,191.55,8673957460
2024-03-21,SOL,SOL-USD,191.55,195.31,176.28,179.22,5613811275
2024-03-22,SOL,SOL-USD,179.24,181.32,167.88,174.36,4150938142
2024-03-23,SOL,SOL-USD,174.36,178.8,171.02,172.9,2711581881
2024-03-24,SOL,SOL-USD,172.9,186.63,171.67,183.57,2661231893
2024-03-25,SOL,SOL-USD,183.57,194.43,181.25,189.08,4066489821
2024-03-26,SOL,SOL-USD,189.08,196.29,186.75,190.7,3520179571
2024-03-27,SOL,SOL-USD,190.7,192.5,180.42,186.36,3844985014
2024-03-28,SOL,SOL-USD,186.36,190.88,181.0,189.62,2910414256
2024-03-29,SOL,SOL-USD,189.62,192.97,183.65,192.23,3031009580
2024-03-30,SOL,SOL-USD,192.23,199.73,191.22,194.39,2999311846
2024-03-31,SOL,SOL-USD,194.38,203.03,194.04,202.87,2342185476
2024-04-01,SOL,SOL-USD,202.87,204.18,187.49,192.57,3872515434
2024-04-02,SOL,SOL-USD,192.57,192.57,176.13,181.17,4553269015
2024-04-03,SOL,SOL-USD,181.17,191.69,177.4,185.25,4160370221
